epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.799,0.85731,0.54685,1.12713,1,1,0.995,0.796,0.86705,0.37763,1.53333,2.69784e-05,2.69784e-05,2.69784e-05
2,423.158,0.82976,0.52239,1.10739,1,1,0.995,0.86233,0.81127,0.32947,1.52602,5.29096e-05,5.29096e-05,5.29096e-05
3,614.887,0.82868,0.5352,1.10989,1,1,0.995,0.76283,0.91544,0.47544,1.66462,7.77716e-05,7.77716e-05,7.77716e-05
4,809.593,0.83965,0.54458,1.11253,1,1,0.995,0.82917,0.89145,0.42848,1.56406,7.61886e-05,7.61886e-05,7.61886e-05
5,1012.99,0.83584,0.54668,1.11504,0.93063,1,0.995,0.86233,0.71048,0.45699,1.38661,7.45848e-05,7.45848e-05,7.45848e-05
6,1210.79,0.83199,0.5398,1.11229,0.99042,1,0.995,0.86233,0.85188,0.40741,1.48807,7.2981e-05,7.2981e-05,7.2981e-05
7,1401.52,0.82628,0.53553,1.1097,0.98935,1,0.995,0.82917,0.86328,0.40885,1.56278,7.13772e-05,7.13772e-05,7.13772e-05
8,1593.19,0.83327,0.53859,1.11423,0.97102,1,0.995,0.796,0.82544,0.36641,1.51085,6.97734e-05,6.97734e-05,6.97734e-05
9,1783.82,0.83349,0.52969,1.11314,1,1,0.995,0.86233,0.72077,0.38368,1.48168,6.81696e-05,6.81696e-05,6.81696e-05
10,1973.67,0.83357,0.53487,1.1124,0.9736,1,0.995,0.86233,0.76256,0.34927,1.45342,6.65658e-05,6.65658e-05,6.65658e-05
11,2163.91,0.83021,0.52616,1.10931,1,1,0.995,0.86233,0.71859,0.39421,1.43133,6.4962e-05,6.4962e-05,6.4962e-05
12,2355.31,0.82596,0.52498,1.10736,1,1,0.995,0.796,0.98242,0.43366,1.65181,6.33582e-05,6.33582e-05,6.33582e-05
13,2546.06,0.82175,0.51505,1.10508,0.99054,1,0.995,0.86233,0.81064,0.447,1.51632,6.17544e-05,6.17544e-05,6.17544e-05
14,2738.35,0.81441,0.51742,1.10649,1,1,0.995,0.76283,0.92703,0.44845,1.65767,6.01506e-05,6.01506e-05,6.01506e-05
15,2931.08,0.81978,0.51104,1.10791,1,1,0.995,0.796,0.95772,0.43439,1.58919,5.85468e-05,5.85468e-05,5.85468e-05
16,3121.97,0.8082,0.50233,1.09978,1,1,0.995,0.796,0.85636,0.35859,1.48368,5.6943e-05,5.6943e-05,5.6943e-05
