epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.076,1.60568,5.40349,1.79935,0.2,1,0.82917,0.597,0.99439,2.30273,1.53841,2.69784e-05,2.69784e-05,2.69784e-05
2,451.299,1.35304,3.02347,1.47889,0.49084,1,0.995,0.72967,1.0683,1.58679,1.75229,5.29096e-05,5.29096e-05,5.29096e-05
3,664.721,1.28293,2.19653,1.41494,0.93207,1,0.995,0.76283,0.89222,0.87593,1.62136,7.77716e-05,7.77716e-05,7.77716e-05
