epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.233,0.89236,0.589,1.14558,1,1,0.995,0.82917,0.84974,0.39113,1.52396,2.69784e-05,2.69784e-05,2.69784e-05
2,464.89,0.8876,0.59418,1.13788,0.98938,1,0.995,0.86233,0.80653,0.40764,1.50814,5.29096e-05,5.29096e-05,5.29096e-05
3,676.215,0.8972,0.62168,1.14606,1,1,0.995,0.86233,0.76204,0.4098,1.44776,7.77716e-05,7.77716e-05,7.77716e-05
4,888.061,0.91517,0.63071,1.15168,1,1,0.995,0.8955,0.72486,0.42856,1.4201,7.61886e-05,7.61886e-05,7.61886e-05
5,1097.13,0.90555,0.63041,1.15105,1,1,0.995,0.86233,0.66184,0.42205,1.34346,7.45848e-05,7.45848e-05,7.45848e-05
6,1311.17,0.90483,0.61955,1.15048,0.96194,1,0.995,0.82917,0.76165,0.39936,1.38943,7.2981e-05,7.2981e-05,7.2981e-05
7,1522.82,0.89362,0.61009,1.14437,0.97547,1,0.995,0.796,0.83041,0.38001,1.54026,7.13772e-05,7.13772e-05,7.13772e-05
8,1733.49,0.90676,0.61832,1.15539,0.96967,1,0.995,0.86233,0.8672,0.48522,1.57422,6.97734e-05,6.97734e-05,6.97734e-05
9,1937.06,0.907,0.61154,1.15052,1,1,0.995,0.82917,0.84121,0.45382,1.54564,6.81696e-05,6.81696e-05,6.81696e-05
10,2142.98,0.90306,0.61184,1.14746,1,1,0.995,0.82917,0.77329,0.40074,1.48747,6.65658e-05,6.65658e-05,6.65658e-05
11,2353.68,0.89507,0.59414,1.14232,0.95455,1,0.995,0.796,0.86534,0.41862,1.52835,6.4962e-05,6.4962e-05,6.4962e-05
12,2574.1,0.88995,0.59322,1.14188,1,1,0.995,0.72967,1.12268,0.45209,1.7521,6.33582e-05,6.33582e-05,6.33582e-05
13,2783.02,0.88588,0.58385,1.13851,1,1,0.995,0.796,0.94852,0.41078,1.59579,6.17544e-05,6.17544e-05,6.17544e-05
14,2982.47,0.8847,0.58397,1.14235,1,1,0.995,0.86233,0.83417,0.45193,1.58212,6.01506e-05,6.01506e-05,6.01506e-05
15,3181.88,0.88333,0.57936,1.13961,1,1,0.995,0.76283,0.90636,0.39737,1.56,5.85468e-05,5.85468e-05,5.85468e-05
16,3387.86,0.86887,0.56483,1.13121,1,1,0.995,0.82917,0.82085,0.37259,1.46317,5.6943e-05,5.6943e-05,5.6943e-05
17,3587.09,0.87764,0.57015,1.13481,0.97252,1,0.995,0.86233,0.7654,0.34315,1.44655,5.53392e-05,5.53392e-05,5.53392e-05
