epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.505,1.02766,0.91206,1.22946,0.94994,1,0.995,0.796,0.91015,0.57042,1.63566,2.69784e-05,2.69784e-05,2.69784e-05
2,425.245,0.9909,0.85513,1.19983,0.97565,1,0.995,0.796,0.96731,0.60641,1.68715,5.29096e-05,5.29096e-05,5.29096e-05
3,627.157,0.98002,0.86336,1.19875,0.98756,1,0.995,0.76283,0.91077,0.52,1.63225,7.77716e-05,7.77716e-05,7.77716e-05
4,822.095,1.00321,0.86231,1.20937,0.95386,1,0.995,0.796,0.87096,0.53439,1.55025,7.61886e-05,7.61886e-05,7.61886e-05
5,1015.7,0.99084,0.82853,1.20634,0.90433,1,0.995,0.82917,0.87329,0.57366,1.53999,7.45848e-05,7.45848e-05,7.45848e-05
6,1212.23,0.98445,0.80671,1.19914,1,1,0.995,0.76283,0.91353,0.48188,1.52457,7.2981e-05,7.2981e-05,7.2981e-05
7,1421.49,0.97033,0.78198,1.19116,0.99016,1,0.995,0.82917,0.80848,0.49728,1.54171,7.13772e-05,7.13772e-05,7.13772e-05
8,1612.54,1.03129,0.841,1.22824,0.9682,1,0.995,0.72967,1.08502,0.53723,1.76115,6.97734e-05,6.97734e-05,6.97734e-05
9,1802.4,1.02639,0.81658,1.22131,0.96585,1,0.995,0.82917,0.91002,0.54877,1.63455,6.81696e-05,6.81696e-05,6.81696e-05
10,1994.5,1.01955,0.80667,1.21417,0.99054,1,0.995,0.86233,0.77129,0.44448,1.48229,6.65658e-05,6.65658e-05,6.65658e-05
11,2183.84,1.01239,0.77462,1.20823,0.98955,1,0.995,0.796,0.97064,0.48217,1.61595,6.4962e-05,6.4962e-05,6.4962e-05
12,2374.27,1.00074,0.76849,1.20479,0.98701,1,0.995,0.72967,1.06585,0.4848,1.71339,6.33582e-05,6.33582e-05,6.33582e-05
13,2563.54,0.99012,0.75093,1.19794,0.94665,1,0.995,0.76283,1.03793,0.44771,1.71843,6.17544e-05,6.17544e-05,6.17544e-05
14,2753.58,0.99066,0.74293,1.20332,0.9897,1,0.995,0.76283,1.07221,0.40386,1.83201,6.01506e-05,6.01506e-05,6.01506e-05
15,2956.02,0.98447,0.72459,1.1968,0.98961,1,0.995,0.796,0.96988,0.49078,1.69505,5.85468e-05,5.85468e-05,5.85468e-05
16,3164.89,0.96249,0.70528,1.18474,0.98587,1,0.995,0.76283,0.95624,0.44335,1.58446,5.6943e-05,5.6943e-05,5.6943e-05
17,3357.19,0.97384,0.70708,1.18728,1,1,0.995,0.86233,0.72544,0.46659,1.45297,5.53392e-05,5.53392e-05,5.53392e-05
18,3549.32,0.95954,0.68453,1.17812,0.99063,1,0.995,0.796,1.01314,0.44351,1.67902,5.37354e-05,5.37354e-05,5.37354e-05
19,3741.5,0.96497,0.68439,1.18125,1,1,0.995,0.76283,1.03787,0.40967,1.68633,5.21316e-05,5.21316e-05,5.21316e-05
20,3933.99,0.95131,0.66891,1.17293,0.98923,1,0.995,0.82917,0.89437,0.44969,1.59778,5.05278e-05,5.05278e-05,5.05278e-05
21,4126.13,0.94489,0.66412,1.17459,1,1,0.995,0.796,0.79284,0.38019,1.50674,4.8924e-05,4.8924e-05,4.8924e-05
22,4321.95,0.9438,0.6494,1.17206,1,1,0.995,0.796,0.99819,0.41849,1.6919,4.73202e-05,4.73202e-05,4.73202e-05
23,4517.57,0.93162,0.63844,1.16204,1,1,0.995,0.82917,0.94092,0.37939,1.5763,4.57164e-05,4.57164e-05,4.57164e-05
24,4712,0.93217,0.64066,1.16622,1,1,0.995,0.82917,0.77935,0.36616,1.50112,4.41126e-05,4.41126e-05,4.41126e-05
25,4935.69,0.92669,0.62818,1.16223,1,1,0.995,0.796,0.8145,0.4033,1.54308,4.25088e-05,4.25088e-05,4.25088e-05
