epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.136,1.18136,1.66244,1.34445,0.8996,1,0.995,0.796,0.77925,0.81462,1.58962,2.69784e-05,2.69784e-05,2.69784e-05
2,433.294,1.11836,1.41502,1.29242,0.97115,1,0.995,0.72967,0.97889,0.66229,1.69618,5.29096e-05,5.29096e-05,5.29096e-05
3,633.522,1.07842,1.27686,1.27151,0.91422,1,0.995,0.86233,0.87166,0.81104,1.65072,7.77716e-05,7.77716e-05,7.77716e-05
4,828.633,1.15802,1.31514,1.31546,0.89007,1,0.995,0.796,0.81225,0.79102,1.61526,7.61886e-05,7.61886e-05,7.61886e-05
5,1027.49,1.13418,1.21407,1.29746,0.83976,1,0.995,0.82917,0.86162,0.65875,1.59501,7.45848e-05,7.45848e-05,7.45848e-05
6,1224.1,1.1259,1.13456,1.2847,0.97312,1,0.995,0.82917,0.89343,0.67282,1.62927,7.2981e-05,7.2981e-05,7.2981e-05
7,1419.74,1.09958,1.05354,1.26805,0.93796,1,0.995,0.796,0.90303,0.62921,1.59911,7.13772e-05,7.13772e-05,7.13772e-05
